/home/ivan/Área de trabalho/2017/07/29/AXIU2190354/20170729002621003GS_stamp.jpg,166,26,396,157
/home/ivan/Área de trabalho/2017/07/28/UACU8436066/2017072800261300FNS_stamp.jpg,8,32,467,216
/home/ivan/Área de trabalho/2017/07/28/UACU8557237/2017072800261300CZS_stamp.jpg,23,26,457,188
/home/ivan/Área de trabalho/2017/07/29/BEAU2009386/20170729002626001WS_stamp.jpg,146,27,346,172
/home/ivan/Área de trabalho/2017/07/29/APZU3757532/20170729002612001JS_stamp.jpg,112,24,333,165
/home/ivan/Área de trabalho/2017/07/29/APZU3338623/201707290026140059S_stamp.jpg,0,27,404,146
/home/ivan/Área de trabalho/2017/07/29/APZU4794145/2017072800261300HDS_stamp.jpg,8,33,494,245
/home/ivan/Área de trabalho/2017/07/29/APZU3782577/20170728002621007PS_stamp.jpg,165,28,402,170
/home/ivan/Área de trabalho/2017/07/29/APHU6884857/20170728002621008YS_stamp.jpg,45,16,523,168
/home/ivan/Área de trabalho/2017/07/29/APHU6692242/20170729002614004KS_stamp.jpg,0,22,448,245
/home/ivan/Área de trabalho/2017/07/28/UACU4043179/2017072700262100DLS_stamp.jpg,153,28,401,160
/home/ivan/Área de trabalho/2017/07/28/UACU8394628/201707280026120033S_stamp.jpg,10,24,458,158
/home/ivan/Área de trabalho/2017/07/29/APZU3845973/201707290026140086S_stamp.jpg,0,33,371,206
/home/ivan/Área de trabalho/2017/07/29/AMFU3225895/20170728002612004JS_stamp.jpg,99,28,309,167
/home/ivan/Área de trabalho/2017/07/29/APZU3433718/20170729002626005BS_stamp.jpg,48,26,451,182
/home/ivan/Área de trabalho/2017/07/29/APZU3630790/201707280026210082S_stamp.jpg,166,27,402,168
/home/ivan/Área de trabalho/2017/07/29/AXIU2201607/2017072900261300K7S_stamp.jpg,55,145,497,324
/home/ivan/Área de trabalho/2017/07/28/YMLU5373530/20170728002626004JS_stamp.jpg,16,13,436,169
/home/ivan/Área de trabalho/2017/07/28/UACU8073063/201707280026260056S_stamp.jpg,20,30,405,217
/home/ivan/Área de trabalho/2017/07/29/APHU6978386/201707290026120024S_stamp.jpg,35,19,434,177
/home/ivan/Área de trabalho/2017/07/28/UXXU2461720/2017072800261300DPS_stamp.jpg,145,42,361,272
/home/ivan/Área de trabalho/2017/07/29/APZU3118892/20170729002626002MS_stamp.jpg,29,35,420,225
/home/ivan/Área de trabalho/2017/07/29/APZU3975133/201707290026140087S_stamp.jpg,0,25,386,181
/home/ivan/Área de trabalho/2017/07/29/APZU3097130/2017072900261300KPS_stamp.jpg,116,33,339,284
/home/ivan/Área de trabalho/2017/07/28/UTTU2538188/20170728002612003LS_stamp.jpg,158,23,377,114
/home/ivan/Área de trabalho/2017/07/28/UACU5486037/2017072800261300B3S_stamp.jpg,29,13,467,231
/home/ivan/Área de trabalho/2017/07/28/XINU1116676/2017072800261400A9S_stamp.jpg,0,28,371,175
/home/ivan/Área de trabalho/2017/07/28/UASU1051341/20170728002614007NS_stamp.jpg,0,14,475,194
/home/ivan/Área de trabalho/2017/07/28/UACU5044544/20170728002621002TS_stamp.jpg,18,18,479,243
/home/ivan/Área de trabalho/2017/07/29/APZU3724077/2017072800261400DIS_stamp.jpg,0,34,349,216
/home/ivan/Área de trabalho/2017/07/28/UACU5883760/201707280026140053S_stamp.jpg,0,21,470,217
/home/ivan/Área de trabalho/2017/07/29/BAFU8817229/20170729002612003OS_stamp.jpg,135,34,338,122
/home/ivan/Área de trabalho/2017/07/28/UTCU4924311/20170728002621006AS_stamp.jpg,125,30,361,146
/home/ivan/Área de trabalho/2017/07/29/AMFU8680417/201707290026260047S_stamp.jpg,32,16,427,199
/home/ivan/Área de trabalho/2017/07/28/UAEU1240000/201707280026210023S_stamp.jpg,36,15,528,133
/home/ivan/Área de trabalho/2017/07/29/APZU3979099/20170729002626002ZS_stamp.jpg,38,31,434,204
/home/ivan/Área de trabalho/2017/07/28/UACU5603597/201707280026140054S_stamp.jpg,0,15,503,165
/home/ivan/Área de trabalho/2017/07/29/APRU5773150/2017072800261300KLS_stamp.jpg,28,12,511,158
/home/ivan/Área de trabalho/2017/07/29/APZU2102171/20170729002614007GS_stamp.jpg,0,31,356,212
/home/ivan/Área de trabalho/2017/07/29/APZU3763237/20170729002614004US_stamp.jpg,0,38,348,213
/home/ivan/Área de trabalho/2017/07/28/UACU5883760/20170728002621004HS_stamp.jpg,28,23,501,201
/home/ivan/Área de trabalho/2017/07/28/YMLU5336861/201707280026260049S_stamp.jpg,6,12,410,223
/home/ivan/Área de trabalho/2017/07/28/UTCU4732514/20170728002623000SS_stamp.jpg,143,21,599,159
/home/ivan/Área de trabalho/2017/07/29/APHU6811510/20170729002626009XS_stamp.jpg,0,7,391,247
/home/ivan/Área de trabalho/2017/07/29/APHU7052044/201707290026260063S_stamp.jpg,22,16,432,197
/home/ivan/Área de trabalho/2017/07/29/APHU6251838/20170729002612000DS_stamp.jpg,48,13,472,152
/home/ivan/Área de trabalho/2017/07/28/UACU4762280/20170728002621002IS_stamp.jpg,14,19,478,217
/home/ivan/Área de trabalho/2017/07/29/APZU3211080/201707290026260056S_stamp.jpg,30,27,433,200
/home/ivan/Área de trabalho/2017/07/29/APHU6605633/20170729002626008RS_stamp.jpg,31,17,393,236
/home/ivan/Área de trabalho/2017/07/29/AMFU3177539/20170729002613002TS_stamp.jpg,20,33,491,206
/home/ivan/Área de trabalho/2017/07/29/AMFU5007887/201707290026140026S_stamp.jpg,0,28,479,181
/home/ivan/Área de trabalho/2017/07/29/APZU3119899/201707290026230011S_stamp.jpg,141,19,599,175
/home/ivan/Área de trabalho/2017/07/29/AXIU2941943/201707290026130037S_stamp.jpg,140,36,368,244
/home/ivan/Área de trabalho/2017/07/29/AMFU5009494/20170729002614001JS_stamp.jpg,0,26,502,165
/home/ivan/Área de trabalho/2017/07/29/APZU3018445/20170728002626006IS_stamp.jpg,45,28,438,198
/home/ivan/Área de trabalho/2017/07/29/APZU3828847/20170729002626005CS_stamp.jpg,40,27,399,225
/home/ivan/Área de trabalho/2017/07/29/AMCU9272867/20170729002626006NS_stamp.jpg,36,14,462,174
/home/ivan/Área de trabalho/2017/07/29/BAFU8882672/20170728002612003WS_stamp.jpg,1,0,599,265
/home/ivan/Área de trabalho/2017/07/29/BAFU8900293/20170728002612003VS_stamp.jpg,125,33,335,118
/home/ivan/Área de trabalho/2017/07/29/AMFU3226926/20170729002613001JS_stamp.jpg,142,39,489,248
/home/ivan/Área de trabalho/2017/07/28/UESU4684635/20170728002631000OS_stamp.jpg,57,17,523,156
/home/ivan/Área de trabalho/2017/07/29/APZU3832723/20170729002626000KS_stamp.jpg,22,30,394,239
/home/ivan/Área de trabalho/2017/07/29/AMFU3276510/20170729002614004IS_stamp.jpg,0,25,390,159
/home/ivan/Área de trabalho/2017/07/29/APRU6113910/201707290026260079S_stamp.jpg,30,15,455,179
/home/ivan/Área de trabalho/2017/07/29/AMFU8950873/20170729002612001TS_stamp.jpg,41,20,401,236
/home/ivan/Área de trabalho/2017/07/29/AMFU5007130/201707290026140027S_stamp.jpg,0,28,495,171
/home/ivan/Área de trabalho/2017/07/29/APHU7170509/20170729002623003HS_stamp.jpg,36,0,599,153
/home/ivan/Área de trabalho/2017/07/29/AXIU1603427/2017072900261300EHS_stamp.jpg,57,10,548,109
/home/ivan/Área de trabalho/2017/07/28/UACU4073888/2017072700261400CFS_stamp.jpg,0,25,371,169
/home/ivan/Área de trabalho/2017/07/29/APZU4824661/20170729002626009VS_stamp.jpg,15,31,408,231
/home/ivan/Área de trabalho/2017/07/29/APHU6828489/2017072800261400DHS_stamp.jpg,0,19,485,179
/home/ivan/Área de trabalho/2017/07/29/AMFU8880420/201707290026230027S_stamp.jpg,13,0,599,190
/home/ivan/Área de trabalho/2017/07/28/UACU4758742/20170728002621002FS_stamp.jpg,33,17,506,199
